822,孙,125776,472004329
823,淡,125727,472130056
824,律,125717,472255773
825,亦,125373,472381146
826,震,125284,472506430
827,幸,125098,472631528
828,供,124956,472756484
829,狂,124605,472881089
830,策,124422,473005511
831,画,124355,473129866
832,按,124240,473254106
833,卫,123986,473378092
834,逃,123981,473502073
835,察,123681,473625754
836,景,123291,473749045
837,寻,123178,473872223
838,积,123142,473995365
839,永,123104,474118469
840,猛,122878,474241347
841,草,122747,474364094
842,佛,122724,474486818
843,股,122596,474609414
844,叶,122496,474731910
845,秀,122321,474854231
846,访,122281,474976512
847,魔,122188,475098700
848,啦,121476,475220176
849,乡,120997,475341173
850,辈,120973,475462146
851,散,120672,475582818
852,守,120561,475703379
853,范,120411,475823790
854,松,120292,475944082
855,免,120194,476064276
856,属,119861,476184137
857,虎,119558,476303695
858,恐,119291,476422986
859,养,119175,476542161
860,伸,119030,476661191
861,警,118855,476780046
862,婚,118548,476898594
863,艺,118416,477017010
864,厉,118176,477135186
865,凌,118137,477253323
866,执,117835,477371158
867,皇,117578,477488736
868,毛,117392,477606128
869,验,117352,477723480
870,富,117320,477840800
871,状,117307,477958107
872,攻,117261,478075368
873,某,116800,478192168
874,校,116634,478308802
875,迎,116594,478425396
876,练,116462,478541858
877,食,116397,478658255
878,源,116120,478774375
879,顺,115794,478890169
880,适,115588,479005757
881,玩,115542,479121299
882,田,115247,479236546
883,镇,115150,479351696
884,翻,114751,479466447
885,罪,114665,479581112
886,困,114542,479695654
887,欲,114358,479810012
888,苏,114066,479924078
889,章,114033,480038111
890,恨,113739,480151850
891,毫,113650,480265500
892,央,113476,480378976
893,米,113453,480492429
894,泪,113226,480605655
895,醒,112705,480718360
896,弄,112545,480830905
897,靠,112431,480943336
898,略,112340,481055676
899,饭,112297,481167973
900,端,112064,481280037
901,床,111849,481391886
902,味,111300,481503186
903,雄,111291,481614477
904,讨,110946,481725423
905,秘,110942,481836365
906,燕,110875,481947240
907,批,109900,482057140
908,渐,109882,482167022
909,顶,109224,482276246
910,冰,108963,482385209
911,刺,108453,482493662
912,获,108447,482602109
913,付,108375,482710484
914,宣,108350,482818834
915,姓,108348,482927182
916,替,108099,483035281
917,探,107978,483143259
918,球,107723,483250982
919,配,107719,483358701
920,凤,107590,483466291
921,徐,107455,483573746
922,归,107173,483680919
923,港,106990,483787909
924,恩,106710,483894619
925,欧,106461,484001080
926,射,106353,484107433
927,宁,106279,484213712
928,店,106277,484319989
929,演,106099,484426088
930,迷,106012,484532100
931,钟,105900,484638000
932,珠,105699,484743699
933,普,105699,484849398
934,梅,105523,484954921
935,著,105377,485060298
936,洞,105226,485165524
937,赵,104756,485270280
938,临,104519,485374799
939,胸,104382,485479181
940,吸,104049,485583230
941,财,103740,485686970
942,限,103507,485790477
943,舞,103479,485893956
944,印,103434,485997390
945,买,103210,486100600
946,凡,103152,486203752
947,班,102968,486306720
948,拍,102534,486409254
949,检,102401,486511655
950,握,102355,486614010
951,卡,102172,486716182
952,晓,101900,486818082
953,压,101567,486919649
954,尊,101493,487021142
955,虚,101355,487122497
956,婆,101217,487223714
957,劳,101208,487324922
958,托,100937,487425859
959,短,100930,487526789
960,超,100790,487627579
961,妻,100695,487728274
962,稳,100448,487828722
963,伙,100320,487929042
964,康,100302,488029344
965,移,100221,488129565
966,劲,100069,488229634
967,陆,99989,488329623
968,徒,99429,488429052
969,封,99393,488528445
970,奔,99384,488627829
971,厅,99092,488726921
972,哭,98781,488825702
973,祖,98551,488924253
974,板,98510,489022763
975,烟,98405,489121168
976,互,98395,489219563
977,序,98375,489317938
978,谷,98122,489416060
979,蓝,98040,489514100
980,败,97983,489612083
981,默,97953,489710036
982,均,97843,489807879
983,预,97782,489905661
984,园,97758,490003419
985,软,97685,490101104
986,控,97658,490198762
987,仇,97274,490296036
988,妙,97160,490393196
989,窗,97097,490490293
990,野,97079,490587372
991,占,96832,490684204
992,夏,96675,490780879
993,骨,96655,490877534
994,邪,96533,490974067
995,圣,96370,491070437
996,盘,96311,491166748
997,危,96143,491262891
998,杰,96104,491358995
999,避,96024,491455019
1000,肩,95688,491550707
1001,抬,95614,491646321
1002,坏,95407,491741728
1003,紫,95193,491836921
1004,休,94949,491931870
1005,讯,94835,492026705
1006,监,94583,492121288
1007,束,94560,492215848
1008,午,94523,492310371
1009,蒙,94415,492404786
1010,词,94159,492498945
1011,曰,94154,492593099
1012,犯,94139,492687238
1013,读,94053,492781291
1014,乃,93778,492875069
1015,纳,93470,492968539
1016,例,93341,493061880
1017,登,93288,493155168
1018,含,93100,493248268
1019,沈,93058,493341326
1020,浪,92910,493434236
1021,呆,92891,493527127
1022,硬,92515,493619642
1023,库,92451,493712093
1024,柳,92152,493804245
1025,亿,91571,493895816
1026,笔,91373,493987189
1027,智,91116,494078305
1028,罢,90936,494169241
1029,绿,90542,494259783
1030,厂,90503,494350286
1031,韩,90498,494440784
1032,肉,90085,494530869
1033,吉,89993,494620862
1034,巨,89986,494710848
1035,雅,89949,494800797
1036,馆,89815,494890612
1037,伊,89577,494980189
1038,杜,89135,495069324
1039,吴,88578,495157902
1040,套,88341,495246243
1041,灯,88188,495334431
1042,丹,87991,495422422
1043,剧,86994,495509416
1044,萧,86976,495596392
1045,帝,86965,495683357
1046,麻,86899,495770256
1047,透,86885,495857141
1048,巧,86721,495943862
1049,献,86710,496030572
1050,街,86405,496116977
1051,桌,86379,496203356
1052,姊,86193,496289549
1053,牙,86149,496375698
1054,毕,86115,496461813
1055,泽,85917,496547730
1056,杯,85728,496633458
1057,摆,85679,496719137
1058,评,85668,496804805
1059,拜,85575,496890380
1060,曲,85522,496975902
1061,奥,85505,497061407
1062,油,85334,497146741
1063,偷,85326,497232067
1064,杂,85310,497317377
1065,介,85142,497402519
1066,纵,84961,497487480
1067,洲,84867,497572347
1068,牛,84812,497657159
1069,卖,84625,497741784
1070,凝,84455,497826239
1071,输,84188,497910427
1072,健,84020,497994447
1073,荣,83626,498078073
1074,述,83349,498161422
1075,域,83296,498244718
1076,款,83211,498327929
1077,概,83177,498411106
1078,宇,83172,498494278
1079,彩,83085,498577363
1080,臂,82991,498660354
1081,歌,82868,498743222
1082,旧,82816,498826038
1083,秦,82662,498908700
1084,偏,82624,498991324
1085,测,82622,499073946
1086,侠,82619,499156565
1087,迟,82476,499239041
1088,爹,82405,499321446
1089,诗,82376,499403822
1090,针,82295,499486117
1091,版,82117,499568234
1092,鱼,82038,499650272
1093,烦,82024,499732296
1094,贝,81992,499814288
1095,愈,81923,499896211
1096,丁,81902,499978113
1097,魂,81625,500059738
1098,尖,81625,500141363
1099,懂,81464,500222827
1100,升,81412,500304239
1101,峰,81195,500385434
1102,惜,81179,500466613
1103,征,81172,500547785
1104,童,81030,500628815
1105,弱,80723,500709538
1106,吓,80540,500790078
1107,敬,80530,500870608
1108,抗,80447,500951055
1109,私,80406,501031461
1110,戏,80149,501111610
1111,宗,80136,501191746
1112,误,79942,501271688
1113,促,79755,501351443
1114,逐,79275,501430718
1115,郎,79241,501509959
1116,诸,79000,501588959
1117,尤,78840,501667799
1118,挑,78808,501746607
1119,牌,78632,501825239
1120,洛,78432,501903671
1121,森,78229,501981900
1122,借,78209,502060109
1123,熟,78048,502138157
1124,庭,77525,502215682
1125,娇,77249,502292931
1126,纷,77213,502370144
1127,喊,77172,502447316
1128,架,77035,502524351
1129,横,77029,502601380
1130,侧,76936,502678316
1131,唇,76836,502755152
1132,豪,76739,502831891
1133,努,76700,502908591
1134,编,76623,502985214
1135,弹,76573,503061787
1136,判,76237,503138024
1137,盖,75922,503213946
1138,贫,75811,503289757
1139,拳,75762,503365519
1140,抢,75612,503441131
1141,络,75387,503516518
1142,闭,75250,503591768
1143,贸,75170,503666938
1144,孤,75153,503742091
1145,虑,75071,503817162
1146,拥,75012,503892174
1147,悲,74857,503967031
1148,爸,74726,504041757
1149,疾,74711,504116468
1150,训,74629,504191097
1151,额,74612,504265709
1152,销,74541,504340250
1153,盛,74535,504414785
1154,迹,74496,504489281
1155,冒,74492,504563773
1156,降,74214,504637987
1157,玄,74211,504712198
1158,哼,74203,504786401
1159,岂,74138,504860539
1160,怜,74078,504934617
1161,狠,74053,505008670
1162,鲜,74038,505082708
1163,伟,74022,505156730
1164,叔,73933,505230663
1165,胆,73919,505304582
1166,迫,73834,505378416
1167,折,73824,505452240
1168,腰,73628,505525868
1169,残,73427,505599295
1170,抽,73400,505672695
1171,奶,73230,505745925
1172,骂,73157,505819082
1173,凶,72946,505892028
1174,摸,72561,505964589
1175,飘,72446,506037035
1176,墙,72333,506109368
1177,轮,72105,506181473
1178,扑,72053,506253526
1179,阶,72040,506325566
1180,茶,71969,506397535
1181,趣,71890,506469425
1182,洋,71886,506541311
1183,舍,71828,506613139
1184,操,71634,506684773
1185,腿,71565,506756338
1186,厚,71487,506827825
1187,闹,70885,506898710
1188,塞,70855,506969565
1189,诺,70702,507040267
1190,番,70688,507110955
1191,减,70598,507181553
1192,氏,70568,507252121
1193,纸,70552,507322673
1194,础,70488,507393161
1195,碰,70160,507463321
1196,释,70142,507533463
1197,材,69975,507603438
1198,培,69927,507673365
1199,陪,69927,507743292
1200,圆,69844,507813136
1201,唯,69601,507882737
1202,缺,69562,507952299
1203,届,69557,508021856
1204,遍,69512,508091368
